,Movie Name,Release Year,Rating,Description,Genre
0,You People,2023,5.5,"Follows a new couple and their families, who find themselves examining modern love and family dynamics amidst clashing cultures, societal expectations and generational differences.","['Comedy', ' Romance']"
1,Babylon,2022,7.4,"A tale of outsized ambition and outrageous excess, it traces the rise and fall of multiple characters during an era of unbridled decadence and depravity in early Hollywood.","['Comedy', ' Drama', ' History']"
2,Black Panther: Wakanda Forever,2022,6.9,The people of Wakanda fight to protect their home from intervening world powers as they mourn the death of King T'Challa.,"['Action', ' Adventure', ' Drama']"
3,Avatar: The Way of Water,2022,7.8,"Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home.","['Action', ' Adventure', ' Fantasy']"
4,The Menu,2022,7.2,"A young couple travels to a remote island to eat at an exclusive restaurant where the chef has prepared a lavish menu, with some shocking surprises.","['Horror', ' Thriller']"
5,Shotgun Wedding,2022,5.5,Darcy and Tom gather their families for the ultimate destination wedding but when the entire wedding party is taken hostage the bride and groom must save their loved ones--if they don't kill each other first.,"['Action', ' Comedy', ' Romance']"
6,The Banshees of Inisherin,2022,7.8,"Two lifelong friends find themselves at an impasse when one abruptly ends their relationship, with alarming consequences for both of them.","['Comedy', ' Drama']"
7,Everything Everywhere All at Once,2022,8.0,A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.,"['Action', ' Adventure', ' Comedy']"
8,Knock at the Cabin,2023,6.4,"While vacationing, a girl and her parents are taken hostage by armed strangers who demand that the family make a choice to avert the apocalypse.","['Horror', ' Mystery', ' Thriller']"
9,M3GAN,2022,6.4,A robotics engineer at a toy company builds a life-like doll that begins to take on a life of its own.,"['Horror', ' Sci-Fi', ' Thriller']"
10,Infinity Pool,2023,6.8,"James and Em Foster are enjoying an all-inclusive beach vacation in the fictional island of La Tolqa, when a fatal accident exposes the resort's perverse subculture of hedonistic tourism, reckless violence and surreal horrors.","['Crime', ' Horror', ' Mystery']"
11,Teen Wolf: The Movie,2023,5.7,"A terrifying evil has emerged. The wolves howl once again, but only a Werewolf like Scott McCall, can gather both new allies and reunite trusted friends to fight back against what could be the most powerful and deadliest enemy.","['Action', ' Drama', ' Fantasy']"
12,Pathaan,2023,6.6,An Indian spy takes on the leader of a group of mercenaries who have nefarious plans to target his homeland.,"['Action', ' Adventure', ' Drama']"
13,Puss in Boots: The Last Wish,2022,7.9,"When Puss in Boots discovers that his passion for adventure has taken its toll and he has burned through eight of his nine lives, he launches an epic journey to restore them by finding the mythical Last Wish.","['Animation', ' Adventure', ' Comedy']"
14,Plane,2023,6.6,A pilot finds himself caught in a war zone after he's forced to land his commercial aircraft during a terrible storm.,"['Action', ' Thriller']"
15,Tár,2022,7.6,"Set in the international world of Western classical music, the film centers on Lydia Tár, widely considered one of the greatest living composer-conductors and the very first female director of a major German orchestra.","['Drama', ' Music']"
16,The Fabelmans,2022,7.7,"Growing up in post-World War II era Arizona, young Sammy Fabelman aspires to become a filmmaker as he reaches adolescence, but soon discovers a shattering family secret and explores how the power of films can help him see the truth.",['Drama']
17,Glass Onion,2022,7.2,Famed Southern detective Benoit Blanc travels to Greece for his latest case.,"['Comedy', ' Crime', ' Drama']"
18,Elvis,2022,7.4,"The life of American music icon Elvis Presley, from his childhood to becoming a rock and movie star in the 1950s while maintaining a complex relationship with his manager, Colonel Tom Parker.","['Biography', ' Drama', ' Music']"
19,The Whale,2022,8.0,"A reclusive, morbidly obese English teacher attempts to reconnect with his estranged teenage daughter.",['Drama']
20,Triangle of Sadness,2022,7.5,A fashion model celebrity couple join an eventful cruise for the super-rich.,"['Comedy', ' Drama']"
21,A Man Called Otto,2022,7.6,"Otto is a grump who's given up on life following the loss of his wife and wants to end it all. When a young family moves in nearby, he meets his match in quick-witted Marisol, leading to a friendship that will turn his world around.","['Comedy', ' Drama']"
22,The Pale Blue Eye,2022,6.6,"A world-weary detective is hired to investigate the murder of a West Point cadet. Stymied by the cadets' code of silence, he enlists one of their own to help unravel the case - a young man the world would come to know as Edgar Allan Poe.","['Crime', ' Horror', ' Mystery']"
23,X,2022,6.6,"In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives.","['Horror', ' Mystery', ' Thriller']"
24,80 for Brady,2023,6.0,A group of friends made it their life-long mission to go to the Super Bowl and meet NFL superstar Tom Brady.,"['Comedy', ' Drama', ' Sport']"
25,Aftersun,2022,7.7,Sophie reflects on the shared joy and private melancholy of a holiday she took with her father twenty years earlier. Memories real and imagined fill the gaps between as she tries to reconcile the father she knew with the man she didn't...,['Drama']
26,Top Gun: Maverick,2022,8.3,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it.","['Action', ' Drama']"
27,Bullet Train,2022,7.3,Five assassins aboard a swiftly-moving bullet train find out that their missions have something in common.,"['Action', ' Comedy', ' Thriller']"
